bream,242,25.4
bream,290,26.3
bream,340,26.5
bream,363,29
bream,430,29
bream,450,29.7
bream,500,29.7
bream,390,30
bream,450,30
bream,500,30.7
bream,475,31
bream,500,31
bream,500,31.5
bream,340,32
bream,600,32
bream,600,32
bream,700,33
bream,700,33
bream,610,33.5
bream,650,33.5
bream,575,34
bream,685,34
bream,620,34.5
bream,680,35
bream,700,35
bream,725,35
bream,720,35
bream,714,36
bream,850,36
bream,1000,37
bream,920,38.5
bream,955,38.5
bream,925,39.5
bream,975,41
bream,950,41
parkki,55,14.7
parkki,60,15.5
parkki,90,17.7
parkki,120,19
parkki,150,20
parkki,140,20.7
parkki,170,20.7
parkki,145,21.5
parkki,200,23
parkki,273,25
parkki,300,26
perch,5.9,8.4
perch,32,13.7
perch,40,15
perch,51.5,16.2
perch,70,17.4
perch,100,18
perch,78,18.7
perch,80,19
perch,85,19.6
perch,85,20
perch,110,21
perch,115,21
perch,125,21
perch,130,21.3
perch,120,22
perch,120,22
perch,130,22
perch,135,22
perch,110,22
perch,130,22.5
perch,150,22.5
perch,145,22.7
perch,150,23
perch,170,23.5
perch,225,24
perch,145,24
perch,188,24.6
perch,180,25
perch,197,25.6
perch,218,26.5
perch,300,27.3
perch,260,27.5
perch,265,27.5
perch,250,27.5
perch,250,28
perch,300,28.7
perch,320,30
perch,514,32.8
perch,556,34.5
perch,840,35
perch,685,36.5
perch,700,36
perch,700,37
perch,690,37
perch,900,39
perch,650,39
perch,820,39
perch,850,40
perch,900,40
perch,1015,40
perch,820,40
perch,1100,42
perch,1000,43
perch,1100,43
perch,1000,43.5
perch,1000,44
pike,200,32.3
pike,300,34
pike,300,35
pike,300,37.3
pike,430,38
pike,345,38.5
pike,456,42.5
pike,510,42.5
pike,540,43
pike,500,45
pike,567,46
pike,770,48
pike,950,51.7
pike,1250,56
pike,1600,60
pike,1550,60
pike,1650,63.4
roach,40,14.1
roach,69,18.2
roach,78,18.8
roach,87,19.8
roach,120,20
roach,115,20.5
roach,110,20.8
roach,120,21
roach,150,22
roach,145,22
roach,160,22.5
roach,140,22.5
roach,160,22.5
roach,169,24
roach,161,23.4
roach,200,23.5
roach,180,25.2
roach,290,26
roach,272,27
roach,390,31.7
smelt,6.7,9.8
smelt,7.5,10.5
smelt,7,10.6
smelt,9.7,11
smelt,9.8,11.2
smelt,8.7,11.3
smelt,10,11.8
smelt,9.9,11.8
smelt,9.8,12
smelt,12.2,12.2
smelt,13.4,12.4
smelt,12.2,13
smelt,19.7,14.3
smelt,19.9,15
whitefish,270,26
whitefish,270,26.5
whitefish,306,28
whitefish,540,31
whitefish,800,36.4
whitefish,1000,40
